frame,test_file,gt_file,chamfer_distance,accuracy,completeness,hausdorff_distance,precision_10.0,recall_10.0,fscore_10.0,precision_20.0,recall_20.0,fscore_20.0,precision_30.0,recall_30.0,fscore_30.0,precision_50.0,recall_50.0,fscore_50.0,source_filename
0,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0000.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0000.ply,14.93979,14.111958,15.767622,411.552887,0.394911,0.46885,0.428716,0.746346,0.769181,0.757591,0.93227,0.892566,0.911986,0.995552,0.95388,0.974271,BlueSpeech_baseline_metrics.csv
1,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0001.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0001.ply,14.739717,14.049796,15.429638,577.152161,0.399713,0.47358,0.433522,0.754331,0.781168,0.767515,0.932944,0.896943,0.914589,0.996089,0.954157,0.974672,BlueSpeech_baseline_metrics.csv
2,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0002.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0002.ply,14.885533,14.250381,15.520684,246.292007,0.398243,0.471919,0.431962,0.745158,0.78824,0.766094,0.92544,0.901453,0.913289,0.995047,0.952229,0.973167,BlueSpeech_baseline_metrics.csv
3,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0003.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0003.ply,14.756342,14.221,15.291683,478.88858,0.403594,0.476782,0.437146,0.736915,0.782224,0.758894,0.926881,0.901628,0.91408,0.99582,0.954562,0.974755,BlueSpeech_baseline_metrics.csv
4,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0004.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0004.ply,14.682602,13.938191,15.427014,454.970337,0.421619,0.485136,0.451153,0.752068,0.783124,0.767282,0.926739,0.90325,0.914844,0.995879,0.953087,0.974013,BlueSpeech_baseline_metrics.csv
5,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0005.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0005.ply,14.516365,13.886782,15.145948,505.518066,0.429889,0.491608,0.458682,0.756039,0.78247,0.769027,0.928133,0.898192,0.912917,0.99426,0.954549,0.974,BlueSpeech_baseline_metrics.csv
6,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0006.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0006.ply,14.390382,13.940699,14.840066,486.640198,0.426952,0.500778,0.460927,0.751331,0.79103,0.77067,0.927419,0.908214,0.917716,0.995635,0.956244,0.975542,BlueSpeech_baseline_metrics.csv
7,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0007.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0007.ply,14.648364,14.244683,15.052045,282.918854,0.4113,0.488487,0.446583,0.740026,0.784617,0.761669,0.92213,0.908969,0.915502,0.992229,0.955378,0.973455,BlueSpeech_baseline_metrics.csv
8,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0008.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0008.ply,14.472187,14.146394,14.797981,569.455017,0.40587,0.481162,0.44032,0.75124,0.800652,0.775159,0.923712,0.912565,0.918105,0.994556,0.957122,0.97548,BlueSpeech_baseline_metrics.csv
9,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0009.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0009.ply,14.68279,14.342697,15.022884,431.581512,0.394932,0.472761,0.430356,0.736694,0.788321,0.761634,0.928248,0.911335,0.919714,0.993614,0.955738,0.974308,BlueSpeech_baseline_metrics.csv
